Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,
ID,Work Item Type,Tags,Title,Effort,State,Iteration Path,Area Path,Severity,Created Date
33133,Bug,Frontend Team; PM-PriorityMed,(3.0.0) SOLUTION MANAGER: The user can run solution many times and every time a new instance is created,1,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,3 - Medium,24/09/2015 9:41 AM
33134,Bug,Frontend Team; PM-PriorityMed,"~ (3.0.0) SOLUTION MANAGER: In case when user add existing Document Master under Workflow, Document Master looks like a STYLESHEET and has 'STYLESHEET' value in component tag of metadata",3,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager,3 - Medium,24/09/2015 9:45 AM
33194,Bug,PM-PriorityHigh,(3.0.0) VERIFY: SOLUTION MANAGER: Cannot create stylesheet component if parent Workflow not checked out,0.5,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,2 - High,28/09/2015 8:38 AM
33226,Bug,PM-PriorityHigh,Verify - (3.0.0) SOLUTION MANAGER: Check-in for existing file crashes SM,1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,2 - High,29/09/2015 6:47 AM
33231,Bug,Frontend Team; PM-PriorityLow,(3.0.0) SOLUTION MANAGER: The last workspace is able to be deleted,1,Done,\3.0.0\3.0 TPR\Sprint 94  (3.0.0 TPR As Deliverable),\Solution Manager,3 - Medium,29/09/2015 10:43 AM
33386,Bug,PM-PriorityMed; Reopened,REOPENED: (3.0.0) SOLUTION MANAGER: The metadata file is appeared in case of unlock workflow or component,3,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,2 - High,01/10/2015 9:21 AM
33387,Bug,PM-PriorityMed,VERIFY: (3.0.0) SOLUTION MANAGER: Conflict indicator doesn`t work well for child component in case of conflict name,3,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,3 - Medium,01/10/2015 9:30 AM
33466,Product Backlog Item,Capitalize,(3.0.0) Smoke Testing of Sprint 34,2,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager\Testing,,01/10/2015 12:35 PM
37693,Bug,PM-PriorityMed; Refactor?,VERIFY: (3.0.0) SOLUTION MANAGER: Incorrect time in 'Modified date' column of 'Version History' window,0.5,Done,\3.0.0\3.0 Beta\Sprint 97,\Solution Manager,3 - Medium,25/11/2015 6:08 AM
33533,Bug,PM-PriorityHigh,(3.0.0) SOLUTION MANAGER: Share flag has lost in case of SM restart(or refresh treeview),1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,1 - Critical,02/10/2015 6:54 AM
33540,Bug,PM-PriorityHigh,(3.0.0) SOLUTION MANAGER: Share flag has not saved in REPO,1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,1 - Critical,02/10/2015 6:57 AM
33559,Bug,Frontend Team; PM-PriorityLow,(3.0.0) SOLUTION MANAGER: The treeview window should be resized in case when the name of component too long,1,Done,\3.0.0\3.0 TPR\Sprint 94  (3.0.0 TPR As Deliverable),\Solution Manager,4 - Low,02/10/2015 9:04 AM
33602,Bug,PM-PriorityHigh,(3.0.0) SOLUTION MANAGER:  XML Editor - 'Format XML' for plain text crashes SM,2,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,3 - Medium,05/10/2015 7:55 AM
33666,Product Backlog Item,Capitalize,~ (3.0.0) SOLUTION MANAGER: Shared component integration,13,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager,,05/10/2015 2:13 PM
33702,Bug,PM-PriorityHigh,(3.0.0) SOLUTION MANAGER: Workflow list icons are not aligned,2,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,4 - Low,06/10/2015 11:59 AM
33705,Bug,PM-PriorityHigh,~ (3.0.0) SOLUTION MANAGER: Bindings for the Repository shouldn't need to be changed out of the box,5,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager,2 - High,06/10/2015 1:38 PM
33726,Bug,Frontend Team; PM-PriorityHigh,(3.0.0) SOLUTION MANAGER: Exception while opening a vdc file to edit,3,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,2 - High,07/10/2015 5:19 AM
33772,Product Backlog Item,Capitalize,~ (3.0.0) DEV: Investigate and improve the EDG.API.Repository wrapper class/projects performance,13,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager\Dev,,08/10/2015 10:22 AM
33796,Bug,Frontend Team; PM-PriorityHigh,(3.0.0) SOLUTION MANAGER: Checking new component when parent one is checked out fails with expection,3,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,2 - High,09/10/2015 8:01 AM
37674,Bug,PM-PriorityMed,* (3.0.0) SOLUTION MANAGER: Workspaces lost when upgrading versions,3,Done,\3.0.0\3.0 Beta\Sprint 95,\Solution Manager,2 - High,24/11/2015 4:37 PM
37658,Bug,Refactor?,VERIFY: (3.0.0) SOLUTION MANAGER: Conflict status icons are not aligned,0.5,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,4 - Low,24/11/2015 4:01 PM
33842,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Move SM to MDI approach,13,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,,13/10/2015 9:29 AM
33848,Bug,PM-PriorityHigh,* (3.0.0) SOLUTION MANAGER: Application crash after Drag&Drop single item up the hierarchy when no another check-outed items in parent directories,,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,2 - High,13/10/2015 11:21 AM
